#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:primates" name="distribution">
#            <parameter id="rateAC.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:primates" name="distribution">
#            <parameter id="rateAG.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:primates" name="distribution">
#            <parameter id="rateAT.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:primates" name="distribution">
#            <parameter id="rateCG.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:primates" name="distribution">
#            <parameter id="rateGT.s:primates" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:primates" rateAC="@rateAC.s:primates" rateAG="@rateAG.s:primates" rateAT="@rateAT.s:primates" rateCG="@rateCG.s:primates" rateGT="@rateGT.s:primates" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:primates" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:primates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primates" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-2828.4395545610537	-2846.683593615735	-2828.4395545610537	-18.244039054681235	-2828.4395545610537	0.7144117610832551	1.0448595562015102	1.8100614969294704	0.7372657354724848	1.0751076168306986	0.8648908735530612	0.24137378020543557	0.25363652214874977	0.2513538714512212	0.2536358261945934	-2.0799039853695516	1.0715842660937447
1	-2497.232684056046	-2492.7028623741885	-2497.232684056046	4.529821681857582	-2497.232684056046	0.005088618034163555	0.8345345499690929	0.3649435562146857	0.37961405737741977	0.8427291615450142	0.9003406220412076	0.22647117098028738	0.2541248881810167	0.2572335679743041	0.26217037286439177	17.986583955794053	594.5208797504728
2	-2474.3759292702116	-2469.0907379588025	-2474.3759292702116	5.28519131140923	-2474.3759292702116	0.0047778527515910055	1.8843633792899113	0.07164783987180359	0.2396312792958553	0.8156481909664829	0.9192117996591922	0.21168419066818098	0.2712896404927634	0.2591683838850493	0.25785778495400624	17.59624517115401	226.5459566633937
3	-2435.1842390026154	-2435.608015226146	-2435.1842390026154	-0.4237762235309077	-2435.1842390026154	0.014430155988476027	0.7278925619777414	0.07215161530859233	0.45049474390218947	5.324164302756684	0.6441352022758888	0.20989421257116192	0.2699079533986578	0.27218256542609925	0.24801526860408088	13.363191865209712	83.64276960491436
4	-2402.945359870229	-2403.2233990092363	-2402.945359870229	-0.27803913900751265	-2402.945359870229	0.034719190079357753	0.347746211491282	0.07467029287067918	0.41311750978743966	6.995443254811627	0.09222723305520542	0.21242167217803815	0.26591904242994385	0.27645468262205014	0.24520460276996778	11.240689058550393	44.07570241511136
5	-2239.0896013008964	-2242.9280235748706	-2239.0896013008964	-3.8384222739741483	-2239.0896013008964	0.04536776755458844	0.29537082724029234	0.10214621803845293	0.4118219288649793	7.28370791379788	0.15143885457327894	0.23030085374062212	0.27918947958597923	0.24711902480376344	0.24339064186963508	8.360146023535991	13.332377441189209
6	-2148.260830042506	-2158.1242089701	-2148.260830042506	-9.86337892759418	-2148.260830042506	0.12032161588831167	0.960250056999025	0.20728531142587447	1.0556222540097857	3.5153295649899423	0.1034517583735497	0.22218658750868434	0.25743039250959626	0.25429960984583466	0.2660834101358846	3.7221238210842733	3.62015420883863
7	-2088.637308697771	-2089.215425317072	-2088.637308697771	-0.5781166193009726	-2088.637308697771	0.023487106415444423	0.2794082933691113	0.8599846623007112	0.5767213025615961	1.9075638419968064	0.10027366007735868	0.2097972905344896	0.28124314270227	0.24287615662735562	0.2660834101358846	11.757152833837303	37.77291904597472
8	-2084.5460313840463	-2088.984162875868	-2084.5460313840463	-4.438131491821687	-2084.5460313840463	0.08596623785767295	0.37838376317395095	0.30238109472291735	0.8041941611063733	0.6716668868889697	0.05045561287411702	0.2216432515069895	0.28124314270227	0.2356270021227716	0.2614866036679687	5.74019924918335	7.580520459523907
9	-2021.839789129133	-2023.0215892017925	-2021.839789129133	-1.1818000726595645	-2021.839789129133	0.06737148133307297	0.5869793629679287	0.4360911911303998	0.42058852916173134	1.545050367618774	0.003539331689951644	0.22692408331548541	0.2823707778988583	0.2356270021227716	0.25507813666288454	7.484665760068447	18.07357050023576
10	-2006.1824802848262	-2008.1918444693865	-2006.1824802848262	-2.009364184560424	-2006.1824802848262	0.05899738550321546	0.6405054673932248	0.3997750999637442	0.7073158819239268	1.3904144748958625	0.003577981472144314	0.24568373318989808	0.27971853089847076	0.22852544679289258	0.2460722891187384	7.078121483334737	7.938956538837278
11	-1999.092524362745	-1995.5870296563714	-1999.092524362745	3.5054947063735775	-1999.092524362745	0.01872999173929776	0.5876021599415988	0.41445799194935884	0.6030676314470733	0.6586345092611247	0.004140642978187812	0.27322993933620826	0.25538232863022525	0.22477887009671468	0.2466088619368517	11.734691558554417	73.75462179967603
12	-1998.8379445534626	-1995.5635569878564	-1998.8379445534626	3.2743875656061876	-1998.8379445534626	0.04183431980999918	0.3581468001089723	0.25497954442375165	0.46369482780739146	0.47172717409287696	0.006236754336796904	0.29079676798466686	0.25021922292930093	0.22765072222642202	0.2313332868596101	10.330782105416375	40.85543527063942
13	-1909.8259630023172	-1904.716221398	-1909.8259630023172	5.109741604317044	-1909.8259630023172	0.028959403276138333	0.5254120163640632	0.25497954442375165	0.2595882117674093	0.10557913599551115	0.0020292385361811984	0.29924845500483094	0.24990335040721107	0.2292132557602184	0.22163493882773952	9.449618341946739	24.46887527872067
